ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover,final_score,score_roe,score_roce,score_net_margin,score_operating_margin,score_revenue_cagr,score_profit_cagr,score_ocf_ratio,score_fcf_margin,score_debt_to_equity,score_interest_coverage,score_asset_turnover,llm_prompt
ADVANIHOTR,264355000.0,814202000.0,354110000.0,882712000.0,980912000.0,486745000.0,65081000.0,6500000.0,1133000.0,211988000.0,32821000.0,1078191000.0,0.3246798705972228,0.4011614207125313,0.2694992007437976,0.3610007829448513,0.2631148746812264,0.595552518701717,0.0079832768772368,312.54192409532214,0.801906527207732,179167000.0,0.1826534898135612,0.9097757261932256,83.42857142857143,14.428571428571429,9.714285714285714,4.380952380952381,4.190476190476191,12.142857142857142,9.904761904761905,2.619047619047619,13.428571428571429,4.380952380952381,4.857142857142857,3.3809523809523814,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ADVANIHOTR** (Rank #1 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 32.5%, ROCE: 40.1%
- **Growth (3Y CAGR)**: Sales: 26.3%, Profit: 59.6%
- **Financial Health**: Debt/Equity: 0.01
- **Cash Flow**: FCF Margin: 18.3%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ITC,347466300000.0,700300500000.0,269720000000.0,737565700000.0,746533200000.0,600813600000.0,152426600000.0,2848400000.0,450600000.0,176270400000.0,22787000000.0,880906800000.0,0.4961674309814144,0.3656894565460405,0.4654398491587514,0.3612967246466734,0.0750692927148013,0.3160851104333519,0.00406739678181,598.5796715490458,0.5073021469995795,153483400000.0,0.2055948750839212,0.8474599128988447,76.28571428571429,14.857142857142858,9.333333333333334,4.761904761904762,4.238095238095238,5.2857142857142865,9.428571428571429,1.8571428571428572,13.857142857142858,4.6190476190476195,4.9523809523809526,3.0952380952380953,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ITC** (Rank #2 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 49.6%, ROCE: 36.6%
- **Growth (3Y CAGR)**: Sales: 7.5%, Profit: 31.6%
- **Financial Health**: Debt/Equity: 0.00
- **Cash Flow**: FCF Margin: 20.6%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
TCS,485530000000.0,947560000000.0,661270000000.0,1066280000000.0,2553240000000.0,1917540000000.0,383270000000.0,93920000000.0,7960000000.0,489080000000.0,39370000000.0,1596290000000.0,0.5124002701675884,0.6201654349701767,0.1901623035828986,0.2589924958092462,0.1001428211494679,0.082024466052522,0.0991177339693528,83.07412060301507,1.0073115976355735,449710000000.0,0.176133070138334,1.599483803068365,75.85714285714286,15.0,10.0,3.952380952380952,3.619047619047619,6.714285714285714,8.285714285714286,2.904761904761905,13.142857142857142,3.2380952380952377,4.333333333333334,4.666666666666667,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **TCS** (Rank #3 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 51.2%, ROCE: 62.0%
- **Growth (3Y CAGR)**: Sales: 10.0%, Profit: 8.2%
- **Financial Health**: Debt/Equity: 0.10
- **Cash Flow**: FCF Margin: 17.6%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ADANIPOWER,129387700000.0,563470900000.0,194321200000.0,964765800000.0,561318200000.0,276549000000.0,49115800000.0,393562900000.0,30726100000.0,215011100000.0,115590400000.0,1129175700000.0,0.2296262326945366,0.2014180021721333,0.2305068675841973,0.346187242815216,0.2661320737017909,0.381096178432839,0.6984618016653567,6.324304093262732,1.6617584206226712,99420700000.0,0.1771200363715268,0.4971043921685527,73.9047619047619,12.714285714285714,7.619047619047619,4.238095238095238,4.142857142857143,12.285714285714285,9.523809523809524,3.761904761904762,13.285714285714285,1.5714285714285714,2.904761904761905,1.8571428571428572,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ADANIPOWER** (Rank #4 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 23.0%, ROCE: 20.1%
- **Growth (3Y CAGR)**: Sales: 26.6%, Profit: 38.1%
- **Financial Health**: Debt/Equity: 0.70
- **Cash Flow**: FCF Margin: 17.7%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ACCELYA,1290159000.0,2776759000.0,1780290000.0,3429080000.0,5284914000.0,3683981000.0,761877000.0,620263000.0,34219000.0,1445631000.0,192527000.0,4493375000.0,0.4646276468357534,0.5191742391545254,0.2441210963887018,0.3368626244438414,0.1278210105854778,,0.2233766056038712,52.02635962476987,1.1205060771579316,1253104000.0,0.2371096294092959,1.1761568976548809,72.7142857142857,14.714285714285714,9.904761904761905,4.285714285714286,4.0476190476190474,8.0,3.5714285714285716,3.238095238095238,14.142857142857142,2.761904761904762,3.952380952380952,4.095238095238095,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ACCELYA** (Rank #5 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 46.5%, ROCE: 51.9%
- **Growth (3Y CAGR)**: Sales: 12.8%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.22
- **Cash Flow**: FCF Margin: 23.7%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
INFY,3158000000.0,11205000000.0,4496000000.0,12407000000.0,19277000000.0,16311000000.0,2963000000.0,962000000.0,49000000.0,4351000000.0,263000000.0,17419000000.0,0.2818384649709951,0.3623760780204723,0.1638221714997146,0.2332313119261296,0.0572709184170099,0.0214728425629529,0.0858545292280232,91.75510204081633,1.3777707409753008,4088000000.0,0.2120661928723349,1.1066651357712842,72.33333333333334,14.0,9.238095238095239,3.619047619047619,3.523809523809524,4.714285714285714,7.904761904761904,3.523809523809524,14.0,3.333333333333334,4.428571428571429,4.0476190476190474,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **INFY** (Rank #6 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 28.2%, ROCE: 36.2%
- **Growth (3Y CAGR)**: Sales: 5.7%, Profit: 2.1%
- **Financial Health**: Debt/Equity: 0.09
- **Cash Flow**: FCF Margin: 21.2%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
AIIL,42414100000.0,146893400000.0,41181800000.0,150493600000.0,28448800000.0,8928665000.0,6687378000.0,10542000000.0,510100000.0,3257200000.0,725000000.0,160874200000.0,0.2887406786145599,0.2736448593162766,1.4908924102246843,1.4475759961755856,0.4714961872084549,,0.0717663285076116,80.7327974906881,0.0767952166850174,2532200000.0,0.08900902674278,0.1768387970227668,72.04761904761905,14.142857142857142,8.571428571428571,5.0,5.0,14.571428571428571,3.5714285714285716,1.380952380952381,11.285714285714285,3.3809523809523814,4.285714285714286,0.8571428571428572,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **AIIL** (Rank #7 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 28.9%, ROCE: 27.4%
- **Growth (3Y CAGR)**: Sales: 47.1%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.07
- **Cash Flow**: FCF Margin: 8.9%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ADANIPORTS,110923100000.0,624353900000.0,157163000000.0,1143462400000.0,304753300000.0,169790800000.0,48860300000.0,513048200000.0,26866800000.0,172262800000.0,80489200000.0,1353322300000.0,0.1776606184409195,0.1374448342157993,0.3639766985295975,0.5157056543768352,0.2152848599466101,0.3142821909647357,0.8217265880776912,5.849710423273334,1.5529930194882762,91773600000.0,0.301140627517405,0.2251890033881803,70.95238095238095,11.857142857142856,5.904761904761905,4.666666666666667,4.476190476190476,11.571428571428571,9.333333333333334,3.7142857142857144,14.571428571428571,1.2380952380952381,2.714285714285714,0.9047619047619048,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ADANIPORTS** (Rank #8 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 17.8%, ROCE: 13.7%
- **Growth (3Y CAGR)**: Sales: 21.5%, Profit: 31.4%
- **Financial Health**: Debt/Equity: 0.82
- **Cash Flow**: FCF Margin: 30.1%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ABB,18716400000.0,70754000000.0,25286600000.0,71173700000.0,120876700000.0,68640200000.0,5197100000.0,518800000.0,154000000.0,13318000000.0,2139500000.0,123913300000.0,0.2645278005483789,0.3552801104902513,0.1548387737256228,0.2091933350265187,0.2075951262611677,,0.0073324476354693,164.1987012987013,0.7115684640208587,11178500000.0,0.0924785339110018,0.9754941559945542,70.14285714285714,13.857142857142858,9.047619047619047,3.428571428571429,3.2857142857142856,10.714285714285715,3.5714285714285716,2.1904761904761907,11.428571428571427,4.476190476190476,4.523809523809524,3.619047619047619,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ABB** (Rank #9 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 26.5%, ROCE: 35.5%
- **Growth (3Y CAGR)**: Sales: 20.8%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.01
- **Cash Flow**: FCF Margin: 9.2%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
ACE,4092186000.0,16147255000.0,5777722000.0,16293381000.0,33245835000.0,16295800000.0,1050200000.0,164367000.0,286524000.0,4119842000.0,2209976000.0,27108470000.0,0.2534292051497298,0.3546054683186995,0.1230886816348574,0.1737878444021634,0.2682956991704406,,0.0101792533777412,20.16487973084279,1.0067582460816786,1909866000.0,0.0574467749118047,1.2264002726823018,69.61904761904762,13.285714285714285,8.952380952380953,3.0,2.8571428571428568,12.428571428571429,3.5714285714285716,2.8571428571428568,10.571428571428573,4.2857142857142865,3.5714285714285716,4.238095238095238,"You are a top-tier equity research analyst for the Indian Stock Market.

**Task**: Write a concise, high-impact investment thesis for **ACE** (Rank #10 in our Top 50 Fundamental Model).

**Quantitative Profile**:
- **Profitability**: ROE: 25.3%, ROCE: 35.5%
- **Growth (3Y CAGR)**: Sales: 26.8%, Profit: N/A
- **Financial Health**: Debt/Equity: 0.01
- **Cash Flow**: FCF Margin: 5.7%

**Instructions**:
1. **Headline**: Start with a catchy 1-sentence hook about why this company is a winner.
2. **Analysis**: Briefly synthesis the metrics. Is it a ""Growth Machine"" (high CAGR) or a ""Cash Cow"" (high ROCE/FCF)?
3. **Verdict**: Justify its inclusion in the Top 50.

**Output Format**: 
Plain text, max 3-4 sentences. Professional tone."
